,,,,,,,,,,,,,,,,,,,,,,,m,,Mg C ha-1,Mg C ha-1,Mg C ha-1,Mg C ha-1 yr-1,yr
Blue Ventures Unpublished,,Y,out,"Blue Ventures, lisa.benson@blueventures.org",BV_Unpubl_MHJ32,M1056,Mahajamba,Madagascar,-15.51984,47.02168,-15.51983336,47.02186597,Exact,5,short,central,,Riverine,,Mixed,,2012,1.50,N,,,,,
Blue Ventures Unpublished,,Y,in,"Blue Ventures, lisa.benson@blueventures.org",BV_Unpubl_MHJ33,M1057,Mahajamba,Madagascar,-15.52792,47.03859,-15.52792,47.03859,Exact,5,medium,central/outer,,Riverine,,Xylocarpus granatum,,2012,1.50,N,,,,,
Blue Ventures Unpublished,,Y,out,"Blue Ventures, lisa.benson@blueventures.org",BV_Unpubl_MHJ34,M1058,Mahajamba,Madagascar,-15.5468,47.04011,-15.54666729,47.03975184,Exact,5,short,Central,,Riverine,,Mixed,,2012,1.00,N,,,,,
Blue Ventures Unpublished,,Y,in,"Blue Ventures, lisa.benson@blueventures.org",BV_Unpubl_MHJ35,M1059,Mahajamba,Madagascar,-15.53994,47.04843,-15.53994,47.04843,Exact,5,short,central,,Riverine,,Rhizophora mucronata,,2012,1.50,N,,,,,
Blue Ventures Unpublished,,Y,in,"Blue Ventures, lisa.benson@blueventures.org",BV_Unpubl_MHJ36,M1060,Mahajamba,Madagascar,-15.54286,47.02609,-15.54286,47.02609,Exact,5,short,central,,Riverine,,Mixed,,2012,0.50,N,,,,,
Blue Ventures Unpublished,,Y,out,"Blue Ventures, lisa.benson@blueventures.org",BV_Unpubl_MHJ37,M1061,Mahajamba,Madagascar,-15.52123,47.0161,-15.52125655,47.01556276,Exact,5,short,Central,,Riverine,,Avicennia marina,,2012,1.00,N,,,,,
Blue Ventures Unpublished,,Y,out,"Blue Ventures, lisa.benson@blueventures.org",BV_Unpubl_MHJ38,M1062,Mahajamba,Madagascar,-15.53327,47.0358,-15.53303774,47.03595153,Exact,5,short,Central,,Riverine,,Avicennia marina,,2012,1.50,N,,,,,
Blue Ventures Unpublished,,Y,out,"Blue Ventures, lisa.benson@blueventures.org",BV_Unpubl_MHJ39,M1063,Mahajamba,Madagascar,-15.54271,47.03867,-15.54201988,47.03865622,Exact,5,short,central/outer,,Riverine,,Avicennia marina,,2012,1.50,N,,,,,
Blue Ventures Unpublished,,Y,out,"Blue Ventures, lisa.benson@blueventures.org",BV_Unpubl_MHJ40,M1064,Mahajamba,Madagascar,-15.54203,46.99533,-15.54203,46.99533,Exact,5,short,central/back,,Riverine,,Avicennia marina,,2012,1.50,N,,,,,
Blue Ventures Unpublished,,Y,out,"Blue Ventures, lisa.benson@blueventures.org",BV_Unpubl_MHJ41,M1065,Mahajamba,Madagascar,-15.54073,47.02215,-15.54073,47.02215,Exact,5,short,back,,Riverine,,Avicennia marina,,2012,1.00,N,,,,,
Blue Ventures Unpublished,,Y,out,"Blue Ventures, lisa.benson@blueventures.org",BV_Unpubl_MHJ42,M1066,Mahajamba,Madagascar,-15.53659,46.99864,-15.53659,46.99864,Exact,5,short,central/back,,Riverine,,Avicennia marina,,2012,1.50,N,,,,,
Blue Ventures Unpublished,,Y,in,"Blue Ventures, lisa.benson@blueventures.org",BV_Unpubl_MHJ43,M1067,Mahajamba,Madagascar,-15.47285,47.20491,-15.47285,47.20491,Exact,5,medium,outer,,Riverine,,Mixed,,2012,1.00,N,,,,,
Blue Ventures Unpublished,,Y,in,"Blue Ventures, lisa.benson@blueventures.org",BV_Unpubl_MHJ44,M1068,Mahajamba,Madagascar,-15.47078,47.19588,-15.47078,47.19588,Exact,5,medium,Outer,,Riverine,,Avicennia marina,,2012,1.50,N,,,,,
Blue Ventures Unpublished,,Y,in,"Blue Ventures, lisa.benson@blueventures.org",BV_Unpubl_MHJ45,M1069,Mahajamba,Madagascar,-15.46853,47.20257,-15.46853,47.20257,Exact,5,medium,Outer,,Riverine,,Mixed,,2012,1.50,N,,,,,
Blue Ventures Unpublished,,Y,in,"Blue Ventures, lisa.benson@blueventures.org",BV_Unpubl_MHJ46,M1070,Mahajamba,Madagascar,-15.54468,46.9439,-15.54468,46.9439,Exact,5,medium,Central,,Riverine,,Rhizophora mucronata,,2012,0.50,N,,,,,
Blue Ventures Unpublished,,Y,in,"Blue Ventures, lisa.benson@blueventures.org",BV_Unpubl_MHJ47,M1071,Mahajamba,Madagascar,-15.5447,46.94166,-15.5447,46.94166,Exact,5,medium,Central,,Riverine,,Rhizophora mucronata,,2012,1.00,N,,,,,
Blue Ventures Unpublished,,Y,out,"Blue Ventures, lisa.benson@blueventures.org",BV_Unpubl_MHJ48,M1072,Mahajamba,Madagascar,-15.59689,46.92649,-15.59689,46.92649,Exact,5,short,Outer,,Riverine,,Rhizophora mucronata,,2012,1.50,N,,,,,
Blue Ventures Unpublished,,Y,out,"Blue Ventures, lisa.benson@blueventures.org",BV_Unpubl_MHJ49,M1073,Mahajamba,Madagascar,-15.60122,46.92653,-15.60122,46.92653,Exact,5,short,Outer,,Riverine,,Rhizophora mucronata,,2012,1.00,N,,,,,
Blue Ventures Unpublished,,Y,out,"Blue Ventures, lisa.benson@blueventures.org",BV_Unpubl_MHJ50,M1074,Mahajamba,Madagascar,-15.60113,46.92216,-15.60113,46.92216,Exact,5,short,Outer,,Riverine,,Ceriops tagal,,2012,0.50,N,,,,,
C. Sanders Unpublished,,Y,out,"C. J. Sanders, christian.sanders@scu.edu.au",CJS Unpublished Evans Head,M1075,"Evans Head, NSW",Australia,-29.120667,153.427611,-29.12057674,153.4274457,Exact,50,,outer,,riverine,,Avicennia marina,,2013,0.42,N,,,,,
C. Sanders Unpublished,,Y,in,"C. J. Sanders, christian.sanders@scu.edu.au",CJS Unpublished Ballina,M1076,"Ballina, NSW",Australia,-28.879906,153.559178,-28.879906,153.559178,Exact,50,,central/outer,,estuarine,,Avicennia marina,,2013,0.50,N,,,,,
C. Sanders Unpublished,,Y,out,"C. J. Sanders, christian.sanders@scu.edu.au",CJS Unpublished Wallis Lake,M1077,"Wallis Lake, NSW",Australia,-32.337861,152.488694,-32.33644686,152.4861938,Exact,10,,outer,,riverine,Y,Avicennia marina,,2013,0.50,N,,,,,
C. Sanders Unpublished,,Y,in,"C. J. Sanders, christian.sanders@scu.edu.au",CJS Unpublished Botany Bay B1,M1078,"Botany Bay, NSW",Australia,-34.012128,151.150011,-34.012128,151.150011,Exact,10,,outer,,estuarine,,Avicennia marina,,2013,0.50,N,,,,,
C. Sanders Unpublished,,Y,in,"C. J. Sanders, christian.sanders@scu.edu.au",CJS Unpublished Botany Bay BB,M1079,"Botany Bay, NSW",Australia,-34.031167,151.157075,-34.031167,151.157075,Exact,10,,outer,,estuarine,,Avicennia marina,,2013,0.50,N,,,,,
C. Sanders Unpublished,,Y,in,"C. J. Sanders, christian.sanders@scu.edu.au",CJS Unpublished Botany Bay S1,M1080,"Botany Bay, NSW",Australia,-34.031122,151.137131,-34.031122,151.137131,Exact,10,,outer,,estuarine,,Avicennia marina,,2013,0.50,N,,,,,
Sanders et al 2016 JGR Biogeoscience,,Y,in,"C. J. Sanders, christian.sanders@scu.edu.au",CJS16 JGR D1,M1081,Darwin,Australia,-12.519661,130.906031,-12.519661,130.906031,estimated from GE,150,,outer,,riverine,,"Avicennia marina, Aegiceras corniculatum, Rhizophora stylosa, Ceriops australis",,2015,0.49,N,,,,,
Sanders et al 2016 JGR Biogeoscience,,Y,in,"C. J. Sanders, christian.sanders@scu.edu.au",CJS16 JGR D2,M1082,Darwin,Australia,-12.519636,130.905805,-12.519636,130.905805,estimated from GE,150,,central/outer,,riverine,,"Avicennia marina, Aegiceras corniculatum, Rhizophora stylosa, Ceriops australis",,2015,0.51,N,,,,,
Sanders et al 2016 JGR Biogeoscience,,Y,in,"C. J. Sanders, christian.sanders@scu.edu.au",CJS16 JGR D3,M1083,Darwin,Australia,-12.519602,130.905585,-12.519602,130.905585,estimated from GE,150,,central/back,,riverine,,"Avicennia marina, Aegiceras corniculatum, Rhizophora stylosa, Ceriops australis",,2015,0.48,N,,,,,
Sanders et al 2016 JGR Biogeoscience,Missing data for 0.08-.1,Y,in,"C. J. Sanders, christian.sanders@scu.edu.au",CJS16 JGR D4,M1084,Darwin,Australia,-12.51958,130.905362,-12.51958,130.905362,estimated from GE,150,,back,,riverine,,"Avicennia marina, Aegiceras corniculatum, Rhizophora stylosa, Ceriops australis",,2015,0.48,N,,,,,
Sanders et al 2016 JGR Biogeoscience,,Y,in,"C. J. Sanders, christian.sanders@scu.edu.au",CJS16 JGR D5,M1085,Darwin,Australia,-12.519519,130.905125,-12.519519,130.905125,estimated from GE,150,,back,,riverine,,"Avicennia marina, Aegiceras corniculatum, Rhizophora stylosa, Ceriops australis",,2015,0.52,N,,,,,
Sanders et al 2016 JGR Biogeoscience,,Y,in,"C. J. Sanders, christian.sanders@scu.edu.au",CJS16 JGR D6,M1086,Darwin,Australia,-12.519453,130.904907,-12.519453,130.904907,estimated from GE,150,,central/back,,riverine,,"Avicennia marina, Aegiceras corniculatum, Rhizophora stylosa, Ceriops australis",,2015,0.50,N,,,,,
Sanders et al 2016 JGR Biogeoscience,,Y,in,"C. J. Sanders, christian.sanders@scu.edu.au",CJS16 JGR H1,M1087,"Hinchinbrook Island, QLD",Australia,-18.255161,146.272092,-18.255161,146.272092,estimated from GE,150,,outer,,riverine,,Rhizophora stylosa,,2015,0.50,N,,,,,
Sanders et al 2016 JGR Biogeoscience,,Y,in,"C. J. Sanders, christian.sanders@scu.edu.au",CJS16 JGR H2,M1088,"Hinchinbrook Island, QLD",Australia,-18.254936,146.272122,-18.254936,146.272122,estimated from GE,150,,outer,,riverine,,Rhizophora stylosa,,2015,0.45,N,,,,,
Sanders et al 2016 JGR Biogeoscience,,Y,in,"C. J. Sanders, christian.sanders@scu.edu.au",CJS16 JGR H3,M1089,"Hinchinbrook Island, QLD",Australia,-18.254717,146.272162,-18.254717,146.272162,estimated from GE,150,,outer,,riverine,,Rhizophora stylosa,,2015,0.52,N,,,,,
Sanders et al 2016 JGR Biogeoscience,,Y,in,"C. J. Sanders, christian.sanders@scu.edu.au",CJS16 JGR H4,M1090,"Hinchinbrook Island, QLD",Australia,-18.2545,146.27219,-18.2545,146.27219,estimated from GE,150,,outer,,riverine,,Rhizophora stylosa,,2015,0.45,N,,,,,
Sanders et al 2016 JGR Biogeoscience,,Y,in,"C. J. Sanders, christian.sanders@scu.edu.au",CJS16 JGR H5,M1091,"Hinchinbrook Island, QLD",Australia,-18.254299,146.272237,-18.254299,146.272237,estimated from GE,150,,outer,,riverine,,Rhizophora stylosa,,2015,0.50,N,,,,,
Sanders et al 2016 JGR Biogeoscience,,Y,in,"C. J. Sanders, christian.sanders@scu.edu.au",CJS16 JGR H6,M1092,"Hinchinbrook Island, QLD",Australia,-18.254071,146.272273,-18.254071,146.272273,estimated from GE,150,,outer,,riverine,,Rhizophora stylosa,,2015,0.51,N,,,,,
Sanders et al 2016 JGR Biogeoscience,,Y,out,"C. J. Sanders, christian.sanders@scu.edu.au",CJS16 JGR SB1,M1093,"Seventeen Seventy, QLD",Australia,-24.1906,151.876581,-24.1895005,151.8777932,estimated from GE,150,,outer,,riverine,,Rhizophora stylosa,,2015,0.50,N,,,,,
Sanders et al 2016 JGR Biogeoscience,,Y,out,"C. J. Sanders, christian.sanders@scu.edu.au",CJS16 JGR SB2,M1094,"Seventeen Seventy, QLD",Australia,-24.190545,151.876346,-24.1894455,151.8775582,estimated from GE,150,,central,,riverine,,Rhizophora stylosa,,2015,0.50,N,,,,,
Sanders et al 2016 JGR Biogeoscience,,Y,out,"C. J. Sanders, christian.sanders@scu.edu.au",CJS16 JGR SB3,M1095,"Seventeen Seventy, QLD",Australia,-24.190472,151.876088,-24.1893725,151.8773002,estimated from GE,150,,central,,riverine,,Rhizophora stylosa,,2015,0.50,N,,,,,
Sanders et al 2016 JGR Biogeoscience,,Y,out,"C. J. Sanders, christian.sanders@scu.edu.au",CJS16 JGR SB4,M1096,"Seventeen Seventy, QLD",Australia,-24.190422,151.875845,-24.1893225,151.8770572,estimated from GE,150,,central,,riverine,,Rhizophora stylosa,,2015,0.50,N,,,,,
Sanders et al 2016 JGR Biogeoscience,,Y,out,"C. J. Sanders, christian.sanders@scu.edu.au",CJS16 JGR SB5,M1097,"Seventeen Seventy, QLD",Australia,-24.190361,151.875601,-24.1892615,151.8768132,estimated from GE,150,,central,,riverine,,Rhizophora stylosa,,2015,0.50,N,,,,,
Sanders et al 2016 JGR Biogeoscience,,Y,out,"C. J. Sanders, christian.sanders@scu.edu.au",CJS16 JGR SB6,M1098,"Seventeen Seventy, QLD",Australia,-24.190284,151.875375,-24.1891845,151.8765872,estimated from GE,150,,central,,riverine,,Rhizophora stylosa,,2015,0.50,N,,,,,
Sanders et al 2016 JGR Biogeoscience,Looks like very sparse mangroves,Y,out,"C. J. Sanders, christian.sanders@scu.edu.au",CJS16 JGR Melb 1,M1099,"Barwon Heads, Victoria",Australia,-38.257169,144.487006,-38.257169,144.487006,estimated from GE,150,,central/outer,,riverine,,Avicennia marina,,2015,0.50,N,,,,,
Sanders et al 2016 JGR Biogeoscience,Looks like very sparse mangroves,Y,out,"C. J. Sanders, christian.sanders@scu.edu.au",CJS16 JGR Melb 2,M1100,"Barwon Heads, Victoria",Australia,-38.256943,144.487031,-38.256943,144.487031,estimated from GE,150,,central/back,,riverine,,Avicennia marina,,2015,0.50,N,,,,,
Sanders et al 2016 JGR Biogeoscience,Looks like very sparse mangroves,Y,out,"C. J. Sanders, christian.sanders@scu.edu.au",CJS16 JGR Melb 3,M1101,"Barwon Heads, Victoria",Australia,-38.256721,144.487045,-38.256721,144.487045,estimated from GE,150,,back,,riverine,,Avicennia marina,,2015,0.50,N,,,,,
Sanders et al 2016 JGR Biogeoscience,Looks like very sparse mangroves,Y,out,"C. J. Sanders, christian.sanders@scu.edu.au",CJS16 JGR Melb 6,M1102,"Barwon Heads, Victoria",Australia,-38.256051,144.487123,-38.256051,144.487123,estimated from GE,150,,outer,,riverine,,Avicennia marina,,2015,0.50,N,,,,,
Sanders et al 2016 JGR Biogeoscience,,Y,in,"C. J. Sanders, christian.sanders@scu.edu.au",CJS16 JGR N1,M1103,"New Castle, NSW",Australia,-32.846236,151.7673,-32.846236,151.7673,estimated from GE,150,,central,,riverine,,Avicennia marina,,2015,0.50,N,,,,,
Sanders et al 2016 JGR Biogeoscience,,Y,in,"C. J. Sanders, christian.sanders@scu.edu.au",CJS16 JGR N2,M1104,"New Castle, NSW",Australia,-32.846255,151.767027,-32.846255,151.767027,estimated from GE,150,,central,,riverine,,Avicennia marina,,2015,0.50,N,,,,,
Sanders et al 2016 JGR Biogeoscience,,Y,in,"C. J. Sanders, christian.sanders@scu.edu.au",CJS16 JGR N3,M1105,"New Castle, NSW",Australia,-32.846255,151.766775,-32.846255,151.766775,estimated from GE,150,,central,,riverine,,Avicennia marina,,2015,0.50,N,,,,,
Sanders et al 2016 JGR Biogeoscience,,Y,in,"C. J. Sanders, christian.sanders@scu.edu.au",CJS16 JGR N4,M1106,"New Castle, NSW",Australia,-32.846257,151.766504,-32.846257,151.766504,estimated from GE,150,,central,,riverine,,Avicennia marina,,2015,0.50,N,,,,,
Sanders et al 2016 JGR Biogeoscience,,Y,in,"C. J. Sanders, christian.sanders@scu.edu.au",CJS16 JGR N5,M1107,"New Castle, NSW",Australia,-32.846272,151.766233,-32.846272,151.766233,estimated from GE,150,,central,,riverine,,Avicennia marina,,2015,0.50,N,,,,,
Sanders et al 2016 JGR Biogeoscience,,Y,in,"C. J. Sanders, christian.sanders@scu.edu.au",CJS16 JGR N6,M1108,"New Castle, NSW",Australia,-32.846283,151.765973,-32.846283,151.765973,estimated from GE,150,,central,,riverine,,Avicennia marina,,2015,0.50,N,,,,,
C. Sanders Unpublished,,Y,in,"C. J. Sanders, christian.sanders@scu.edu.au",CJS Unpublished P1-1,M1109,"Moreton Bay, QLD",Australia,-27.780497,153.376081,-27.780497,153.376081,Exact,10,,outer,,estuarine/riverine,,"Avicennia marina, Aegiceras corniculatum, Bruguiera gymnorrhiza, Rhizophora stylosa",,2013,0.50,N,,,,,
C. Sanders Unpublished,,Y,in,"C. J. Sanders, christian.sanders@scu.edu.au",CJS Unpublished P1-2,M1110,"Moreton Bay, QLD",Australia,-27.780285,153.376078,-27.780285,153.376078,estimated from GE,25,,outer,,estuarine/riverine,,"Avicennia marina, Aegiceras corniculatum, Bruguiera gymnorrhiza, Rhizophora stylosa",,2013,0.50,N,,,,,
C. Sanders Unpublished,,Y,in,"C. J. Sanders, christian.sanders@scu.edu.au",CJS Unpublished P1-3,M1111,"Moreton Bay, QLD",Australia,-27.780057,153.376093,-27.780057,153.376093,estimated from GE,25,,outer,,estuarine/riverine,,"Avicennia marina, Aegiceras corniculatum, Bruguiera gymnorrhiza, Rhizophora stylosa",,2013,0.51,N,,,,,
C. Sanders Unpublished,,Y,in,"C. J. Sanders, christian.sanders@scu.edu.au",CJS Unpublished P1-4,M1112,"Moreton Bay, QLD",Australia,-27.779836,153.376093,-27.779836,153.376093,estimated from GE,25,,outer/central,,estuarine/riverine,,"Avicennia marina, Aegiceras corniculatum, Bruguiera gymnorrhiza, Rhizophora stylosa",,2013,0.51,N,,,,,
C. Sanders Unpublished,,Y,in,"C. J. Sanders, christian.sanders@scu.edu.au",CJS Unpublished P1-5,M1113,"Moreton Bay, QLD",Australia,-27.779609,153.376094,-27.779609,153.376094,estimated from GE,25,,outer/central,,estuarine/riverine,,"Avicennia marina, Aegiceras corniculatum, Bruguiera gymnorrhiza, Rhizophora stylosa",,2013,0.50,N,,,,,
C. Sanders Unpublished,,Y,in,"C. J. Sanders, christian.sanders@scu.edu.au",CJS Unpublished P1-6,M1114,"Moreton Bay, QLD",Australia,-27.779382,153.376091,-27.779382,153.376091,estimated from GE,25,,outer/central,,estuarine/riverine,,"Avicennia marina, Aegiceras corniculatum, Bruguiera gymnorrhiza, Rhizophora stylosa",,2013,0.45,N,,,,,
C. Sanders Unpublished,,Y,in,"C. J. Sanders, christian.sanders@scu.edu.au",CJS Unpublished P2-1,M1115,"Moreton Bay, QLD",Australia,-27.779152,153.376094,-27.779152,153.376094,estimated from GE,25,,outer/central,,estuarine/riverine,,"Avicennia marina, Aegiceras corniculatum, Bruguiera gymnorrhiza, Rhizophora stylosa",,2013,0.50,N,,,,,
C. Sanders Unpublished,,Y,in,"C. J. Sanders, christian.sanders@scu.edu.au",CJS Unpublished P2-2,M1116,"Moreton Bay, QLD",Australia,-27.778931,153.376092,-27.778931,153.376092,estimated from GE,25,,central,,estuarine/riverine,,"Avicennia marina, Aegiceras corniculatum, Bruguiera gymnorrhiza, Rhizophora stylosa",,2013,0.50,N,,,,,
C. Sanders Unpublished,,Y,in,"C. J. Sanders, christian.sanders@scu.edu.au",CJS Unpublished P2-3,M1117,"Moreton Bay, QLD",Australia,-27.778708,153.376087,-27.778708,153.376087,estimated from GE,25,,central,,estuarine/riverine,,"Avicennia marina, Aegiceras corniculatum, Bruguiera gymnorrhiza, Rhizophora stylosa",,2013,0.48,N,,,,,
C. Sanders Unpublished,,Y,in,"C. J. Sanders, christian.sanders@scu.edu.au",CJS Unpublished P2-4,M1118,"Moreton Bay, QLD",Australia,-27.778504,153.376103,-27.778504,153.376103,estimated from GE,25,,central,,estuarine/riverine,,"Avicennia marina, Aegiceras corniculatum, Bruguiera gymnorrhiza, Rhizophora stylosa",,2013,0.50,N,,,,,
C. Sanders Unpublished,,Y,in,"C. J. Sanders, christian.sanders@scu.edu.au",CJS Unpublished P2-5,M1119,"Moreton Bay, QLD",Australia,-27.778269,153.376095,-27.778269,153.376095,estimated from GE,25,,central,,estuarine/riverine,,"Avicennia marina, Aegiceras corniculatum, Bruguiera gymnorrhiza, Rhizophora stylosa",,2013,0.50,N,,,,,
C. Sanders Unpublished,,Y,in,"C. J. Sanders, christian.sanders@scu.edu.au",CJS Unpublished P2-6,M1120,"Moreton Bay, QLD",Australia,-27.778039,153.37611,-27.778039,153.37611,estimated from GE,25,,central,,estuarine/riverine,,"Avicennia marina, Aegiceras corniculatum, Bruguiera gymnorrhiza, Rhizophora stylosa",,2013,0.50,N,,,,,
C. Sanders Unpublished,,Y,out,"C. J. Sanders, christian.sanders@scu.edu.au",CJS Unpublished Coffs Harbour MgM 1,M1121,"Coffs Harbour, NSW",Australia,-30.302814,153.128433,-30.302814,153.128433,Exact,5,,outer,,estuarine/riverine,,Avicennia marina,,2013,0.48,N,,,,,
C. Sanders Unpublished,,Y,out,"C. J. Sanders, christian.sanders@scu.edu.au",CJS Unpublished Coffs Harbour U-Mg,M1122,"Coffs Harbour, NSW",Australia,-30.301872,153.128294,-30.301872,153.128294,Exact,5,,central,,estuarine/riverine,,Avicennia marina,,2013,0.46,N,,,,,
C. Sanders Unpublished,,Y,out,"C. J. Sanders, christian.sanders@scu.edu.au",CJS Unpublished Coffs Harbour MgM 2,M1123,"Coffs Harbour, NSW",Australia,-30.29865,153.124128,-30.29865,153.124128,exact,5,,outer,,riverine,,Avicennia marina,,2013,0.48,N,,,,,
C. Sanders Unpublished,,Y,out,"C. J. Sanders, christian.sanders@scu.edu.au",CJS Unpublished Coffs Harbour LTE,M1124,"Coffs Harbour, NSW",Australia,-30.300481,153.1334,-30.300481,153.1334,exact,5,,outer,,estuarine/riverine,,Avicennia marina,,2013,0.48,N,,,,,
C. Sanders Unpublished,,Y,out,"C. J. Sanders, christian.sanders@scu.edu.au",CJS Unpublished Coffs Harbour LTW,M1125,"Coffs Harbour, NSW",Australia,-30.298778,153.123767,-30.298778,153.123767,exact,5,,central,,riverine,,Avicennia marina,,2013,0.48,N,,,,,
C. Sanders Unpublished,,Y,out,"C. J. Sanders, christian.sanders@scu.edu.au",CJS Unpublished Coffs Harbour UTE,M1126,"Coffs Harbour, NSW",Australia,-30.301008,153.133953,-30.301008,153.133953,exact,5,,outer,,estuarine/riverine,,Avicennia marina,,2013,0.46,N,,,,,
C. Sanders Submitted to ECSS,,Y,out,"C. J. Sanders, christian.sanders@scu.edu.au",CJS ECSS Submit Core C,M1127,Whangamata Harbor,New Zealand,-37.202308,175.862442,-37.20228057,175.8626486,Exact,5,,outer,,estuarine/riverine,,Avicennia marina,,2013,0.50,N,,,,,
C. Sanders Submitted to ECSS,,Y,in,"C. J. Sanders, christian.sanders@scu.edu.au",CJS ECSS Submit Core D,M1128,Whangamata Harbor,New Zealand,-37.203636,175.862394,-37.203636,175.862394,Exact,5,,central/outer,,estuarine/riverine,,Avicennia marina,,2013,0.50,N,,,,,
"S. Gress Unpublished, Gress et al 2016",Mix means <80% dominant species,Y,in,"S. K. Gress, selenagress@gmail.com",SKG Unpublished Vanga22b,M1129,Vanga,Kenya,-4.642107,39.239071,-4.642107,39.239071,Exact,5,,central,,estuarine/riverine,,Rhizophora mucronata,,2010,2.92,Y,,,,,
"S. Gress Unpublished, Gress et al 2016",Mix means <80% dominant species,Y,in,"S. K. Gress, selenagress@gmail.com",SKG Unpublished Vanga20b,M1130,Vanga,Kenya,-4.641129,39.239936,-4.641129,39.239936,Exact,5,,back,,estuarine,,Avicennia marina,,2010,2.24,Y,,,,,
"S. Gress Unpublished, Gress et al 2016",Mix means <80% dominant species,Y,in,"S. K. Gress, selenagress@gmail.com",SKG Unpublished VangaAM,M1131,Vanga,Kenya,-4.637439,39.239033,-4.637439,39.239033,Exact,5,,outer,,estuarine,,Avicennia marina mix,,2010,2.12,Y,,,,,
"S. Gress Unpublished, Gress et al 2016",Mix means <80% dominant species,Y,out,"S. K. Gress, selenagress@gmail.com",SKG Unpublished Vanga11,M1132,Vanga,Kenya,-4.660461,39.214661,-4.662163508,39.21435794,Exact,5,,central/outer,,riverine,,Avicennia marina,,2010,2.11,Y,,,,,
"S. Gress Unpublished, Gress et al 2016",Mix means <80% dominant species,Y,out,"S. K. Gress, selenagress@gmail.com",SKG Unpublished Vanga2,M1133,Vanga,Kenya,-4.662896,39.210722,-4.663706061,39.21288474,Exact,5,,central/back,,riverine,,Avicennia marina,,2010,2.45,Y,,,,,
"S. Gress Unpublished, Gress et al 2016",Mix means <80% dominant species,Y,out,"S. K. Gress, selenagress@gmail.com",SKG Unpublished Vanga9,M1134,Vanga,Kenya,-4.662326,39.210036,-4.662326,39.210036,Exact,5,,central,,riverine,,Avicennia marina,,2010,2.68,Y,,,,,
"S. Gress Unpublished, Gress et al 2016",Mix means <80% dominant species,Y,out,"S. K. Gress, selenagress@gmail.com",SKG Unpublished Vanga8,M1135,Vanga,Kenya,-4.662462,39.209612,-4.662462,39.209612,Exact,5,,central,,riverine,,Avicennia marina,,2010,2.34,Y,,,,,
"S. Gress Unpublished, Gress et al 2016",Mix means <80% dominant species,Y,in,"S. K. Gress, selenagress@gmail.com",SKG Unpublished Vanga17,M1136,Vanga,Kenya,-4.646941,39.229831,-4.646941,39.229831,Exact,5,,central/outer,,riverine,,Rhizophora mucronata,,2010,2.92,Y,,,,,
"S. Gress Unpublished, Gress et al 2016",Mix means <80% dominant species,Y,in,"S. K. Gress, selenagress@gmail.com",SKG Unpublished Vanga31,M1137,Vanga,Kenya,-4.584494,39.248292,-4.584494,39.248292,Exact,5,,central/outer,,riverine,,Ceriops tagal,,2010,2.92,Y,,,,,
"S. Gress Unpublished, Gress et al 2016",Mix means <80% dominant species,Y,in,"S. K. Gress, selenagress@gmail.com",SKG Unpublished Vanga14b,M1138,Vanga,Kenya,-4.659372,39.224443,-4.659372,39.224443,Exact,5,,central,,riverine,,Avicennia marina mix,,2010,2.04,Y,,,,,
"S. Gress Unpublished, Gress et al 2016",Mix means <80% dominant species,Y,in,"S. K. Gress, selenagress@gmail.com",SKG Unpublished Vanga15,M1139,Vanga,Kenya,-4.657762,39.225561,-4.657762,39.225561,Exact,5,,central,,riverine,,Rhizophora mucronata,,2010,2.92,Y,,,,,
"S. Gress Unpublished, Gress et al 2016",Mix means <80% dominant species,Y,out,"S. K. Gress, selenagress@gmail.com",SKG Unpublished Vanga16,M1140,Vanga,Kenya,-4.656386,39.226462,-4.656255565,39.22643445,Exact,5,,central/back,,riverine,,Avicennia marina mix,,2010,2.10,Y,,,,,
"S. Gress Unpublished, Gress et al 2016",Mix means <80% dominant species,Y,in,"S. K. Gress, selenagress@gmail.com",SKG Unpublished Vanga13,M1141,Vanga,Kenya,-4.66044,39.223362,-4.66044,39.223362,Exact,5,,central,,estuarine/riverine,,Ceriops tagal,,2010,2.04,Y,,,,,
"S. Gress Unpublished, Gress et al 2016",Mix means <80% dominant species,Y,in,"S. K. Gress, selenagress@gmail.com",SKG Unpublished Vanga44,M1142,Vanga,Kenya,-4.611799,39.244164,-4.611799,39.244164,Exact,5,,central,,riverine,,Avicennia marina mix,,2010,2.19,Y,,,,,
"S. Gress Unpublished, Gress et al 2016",Mix means <80% dominant species,Y,in,"S. K. Gress, selenagress@gmail.com",SKG Unpublished Vanga44b,M1143,Vanga,Kenya,-4.611121,39.242261,-4.611121,39.242261,Exact,5,,central/outer,,riverine,,Ceriops tagal,,2010,2.17,Y,,,,,
"S. Gress Unpublished, Gress et al 2016",Mix means <80% dominant species,Y,in,"S. K. Gress, selenagress@gmail.com",SKG Unpublished Vanga43b,M1144,Vanga,Kenya,-4.61113,39.242018,-4.61113,39.242018,Exact,5,,outer,,riverine,,Rhizophora mucronata,,2010,2.01,Y,,,,,
"S. Gress Unpublished, Gress et al 2016",Mix means <80% dominant species,Y,in,"S. K. Gress, selenagress@gmail.com",SKG Unpublished Vanga45b,M1145,Vanga,Kenya,-4.650353,39.223043,-4.650353,39.223043,Exact,5,,central/outer,,riverine,,Rhizophora mucronata,,2010,2.92,Y,,,,,
