WORLDGRIDS_CODE,SERIES_NAME,ATTRIBUTE_TITLE,DESCRIPTION,RESOLUTION_SOURCE_M,RESAMPLE_METHOD,CONFIDENCE_INTERVAL,HORIZON_UPPER_DEPTH,HORIZON_LOWER_DEPTH,Z_SCALE,RANGE_DOMAIN_MINIMUM,RANGE_DOMAIN_MAXIMUM,MASK_VALUE,ATTRIBUTE_MEASUREMENT_RESOLUTION,ATTRIBUTE_UNITS_OF_MEASURE,CITATION_URL,CITATION_ORIGINATOR,DATA_LICENSE_URL,CITATION_ADDRESS,PUBLICATION_DATE,PUBLICATION_TITLE,DOWNLOAD_FTP_URL,TECHNICAL_SPECIFICATIONS_URL,PROJECT_URL,LEGEND,LINEAGE_CODE
N05PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
N06PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
N07PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
N08PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
N09PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
N10PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
N11PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
N12PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
TNMPRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
V01PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
V02PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
V03PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
V04PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
V05PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
V06PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
V07PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
V08PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
V09PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
V10PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
V11PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
V12PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
VPDPRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
GESUSG6,Surface geology classes,Surficial Materials in the Conterminous United States,,1000,near,M,0.00 m,0.00 m,1,1,,,1,factor,,,,,2005,,http://pubs.usgs.gov/ds/425/,,http://pubs.usgs.gov/ds/425/,,
REDL00,Global Forest Change,Landsat Band 3 (red) for year 2000,,30,average,M,0.00 m,0.00 m,1,1,255,,1,,,Global Forest Change 2000–2014 v1.2,,http://www.sciencemag.org/content/342/6160/850,2000,,http://earthenginepartners.appspot.com/science-2013-global-forest/download_v1.2.html,,,,
NIRL00,Global Forest Change,Landsat Band 4 (NIR) for year 2000,,30,average,M,0.00 m,0.00 m,1,1,255,,1,,,Global Forest Change 2000–2014 v1.3,,http://www.sciencemag.org/content/342/6160/851,2000,,http://earthenginepartners.appspot.com/science-2013-global-forest/download_v1.2.html,,,,
SW1L00,Global Forest Change,Landsat Band 5 (SWIR) for year 2000,,30,average,M,0.00 m,0.00 m,1,1,255,,1,,,Global Forest Change 2000–2014 v1.4,,http://www.sciencemag.org/content/342/6160/852,2000,,http://earthenginepartners.appspot.com/science-2013-global-forest/download_v1.2.html,,,,
SW2L00,Global Forest Change,Landsat Band 7 (SWIR) for year 2000,,30,average,M,0.00 m,0.00 m,1,1,255,,1,,,Global Forest Change 2000–2014 v1.5,,http://www.sciencemag.org/content/342/6160/853,2000,,http://earthenginepartners.appspot.com/science-2013-global-forest/download_v1.2.html,,,,
REDL14,Global Forest Change,Landsat Band 3 (red) for year 2014,,30,average,M,0.00 m,0.00 m,1,1,255,,1,,,Global Forest Change 2000–2014 v1.6,,http://www.sciencemag.org/content/342/6160/854,2014,,http://earthenginepartners.appspot.com/science-2013-global-forest/download_v1.2.html,,,,
NIRL14,Global Forest Change,Landsat Band 4 (NIR) for year 2014,,30,average,M,0.00 m,0.00 m,1,1,255,,1,,,Global Forest Change 2000–2014 v1.7,,http://www.sciencemag.org/content/342/6160/855,2014,,http://earthenginepartners.appspot.com/science-2013-global-forest/download_v1.2.html,,,,
SW1L14,Global Forest Change,Landsat Band 5 (SWIR) for year 2014,,30,average,M,0.00 m,0.00 m,1,1,255,,1,,,Global Forest Change 2000–2014 v1.8,,http://www.sciencemag.org/content/342/6160/856,2014,,http://earthenginepartners.appspot.com/science-2013-global-forest/download_v1.2.html,,,,
SW2L14,Global Forest Change,Landsat Band 7 (SWIR) for year 2014,,30,average,M,0.00 m,0.00 m,1,1,255,,1,,,Global Forest Change 2000–2014 v1.9,,http://www.sciencemag.org/content/342/6160/857,2014,,http://earthenginepartners.appspot.com/science-2013-global-forest/download_v1.2.html,,,,
BLDFIE_M_sl1_100m,SoilGrids250m,,,,,,,,,,,,,,,,,,,,,,,,
BLDFIE_M_sl2_100m,SoilGrids250m,,,,,,,,,,,,,,,,,,,,,,,,
BLDFIE_M_sl3_100m,SoilGrids250m,,,,,,,,,,,,,,,,,,,,,,,,
BLDFIE_M_sl4_100m,SoilGrids250m,,,,,,,,,,,,,,,,,,,,,,,,
BLDFIE_M_sl5_100m,SoilGrids250m,,,,,,,,,,,,,,,,,,,,,,,,
BLDFIE_M_sl6_100m,SoilGrids250m,,,,,,,,,,,,,,,,,,,,,,,,
BLDFIE_M_sl7_100m,SoilGrids250m,,,,,,,,,,,,,,,,,,,,,,,,
ORCDRC_M_sl1_100m,SoilGrids250m,,,,,,,,,,,,,,,,,,,,,,,,
ORCDRC_M_sl2_100m,SoilGrids250m,,,,,,,,,,,,,,,,,,,,,,,,
ORCDRC_M_sl3_100m,SoilGrids250m,,,,,,,,,,,,,,,,,,,,,,,,
ORCDRC_M_sl4_100m,SoilGrids250m,,,,,,,,,,,,,,,,,,,,,,,,
ORCDRC_M_sl5_100m,SoilGrids250m,,,,,,,,,,,,,,,,,,,,,,,,
ORCDRC_M_sl6_100m,SoilGrids250m,,,,,,,,,,,,,,,,,,,,,,,,
ORCDRC_M_sl7_100m,SoilGrids250m,,,,,,,,,,,,,,,,,,,,,,,,
CLYPPT_M_sl1_100m,SoilGrids250m,,,,,,,,,,,,,,,,,,,,,,,,
CLYPPT_M_sl2_100m,SoilGrids250m,,,,,,,,,,,,,,,,,,,,,,,,
CLYPPT_M_sl3_100m,SoilGrids250m,,,,,,,,,,,,,,,,,,,,,,,,
CLYPPT_M_sl4_100m,SoilGrids250m,,,,,,,,,,,,,,,,,,,,,,,,
CLYPPT_M_sl5_100m,SoilGrids250m,,,,,,,,,,,,,,,,,,,,,,,,
CLYPPT_M_sl6_100m,SoilGrids250m,,,,,,,,,,,,,,,,,,,,,,,,
CLYPPT_M_sl7_100m,SoilGrids250m,,,,,,,,,,,,,,,,,,,,,,,,
SNDPPT_M_sl1_100m,SoilGrids250m,,,,,,,,,,,,,,,,,,,,,,,,
SNDPPT_M_sl2_100m,SoilGrids250m,,,,,,,,,,,,,,,,,,,,,,,,
SNDPPT_M_sl3_100m,SoilGrids250m,,,,,,,,,,,,,,,,,,,,,,,,
SNDPPT_M_sl4_100m,SoilGrids250m,,,,,,,,,,,,,,,,,,,,,,,,
SNDPPT_M_sl5_100m,SoilGrids250m,,,,,,,,,,,,,,,,,,,,,,,,
SNDPPT_M_sl6_100m,SoilGrids250m,,,,,,,,,,,,,,,,,,,,,,,,
SNDPPT_M_sl7_100m,SoilGrids250m,,,,,,,,,,,,,,,,,,,,,,,,
